text,label
寒战、乏力、高烧、头痛、恶心、便秘、腹痛、腹泻、伤寒、腹痛,0
寒战、呕吐、乏力、高烧、头痛、恶心、便秘、腹痛、伤寒、腹痛,0
寒战、呕吐、乏力、高烧、头痛、恶心、便秘、腹痛、腹泻、腹痛,0
寒战、呕吐、乏力、高烧、头痛、恶心、便秘、腹痛、腹泻、伤寒、腹痛,0
我肚子疼得厉害，感觉真不舒服。我也在发烧。我担心我可能得了伤寒。,0
寒战、呕吐、乏力、高烧、头痛、恶心、便秘、腹泻、伤寒、腹痛,0
寒战、呕吐、乏力、高烧、头痛、恶心、腹痛、腹泻、伤寒、腹痛,0
寒战、呕吐、乏力、高烧、头痛、恶心、便秘、腹痛、腹泻、中毒（伤寒）,0
寒战、呕吐、乏力、高烧、恶心、便秘、腹痛、腹泻、伤寒、腹痛,0
在过去的几天里，我一直胃痛和便秘。我也没有食欲，感觉很虚弱。,0
寒战、呕吐、乏力、高烧、头痛、便秘、腹痛、腹泻、伤寒、腹痛,0
我已经便秘和腹痛几天了。腹痛越来越严重，开始影响我的日常生活。我每天晚上也会发冷，然后轻微发烧。,0
我已经有几天便秘和腹痛了。疼痛越来越严重，这真的影响了我的日常生活。我也感到很累很虚弱。,0
我已经拉肚子好几天了。我有稀便和水样大便，而且我必须经常去洗手间。我也感到恶心，食欲不振。我也有点发烧。,0
在过去的几天里，我有严重的胃痛和便秘。我每天晚上还会头疼和发冷。,0
我已经拉肚子好几天了。真的很不舒服，来来去去。我也有胃痛和呕吐。,0
在过去的一周里，我一直胃痛。即使药物治疗也没有好转。我想吐，什么都吃不下。我已经变得很虚弱了。,0
我已经呕吐和拉肚子好几天了。我也一直在发烧、便秘和头痛。我很难保持水分。,0
这几天我一直在发高烧。晚上尤其糟糕。我也有轻微的头痛，一直便秘和腹泻。,0
我一直上不了厕所，肚子一直疼。我昨晚也发烧了。,0
我肚子疼，还发烧。我也发冷和头痛。,0
这几天我一直拉肚子。真的很糟糕，还伴有腹部绞痛和腹胀。,0
我已经腹痛几天了。这真的很痛，我还一直便秘和呕吐。我担心我的健康。,0
我已经发烧几天了，而且开始恶化了。我也有严重的胃痛和便秘。,0
这几天我一直感觉很累很虚弱。我还发烧胃疼。我不知道我怎么了。,0
我一直有很多胃痛和腹胀，我一直便秘。我还发高烧发冷。,0
因为发高烧、头痛和发冷，我一直睡不着觉。我每天醒来都感到腹部剧痛。我也一直感到很虚弱和疲惫。,0
我已经呕吐和腹泻几天了，我很难保持水分。我还有点发烧和胃痛。,0
我一直感觉很不舒服。我发烧，发冷，胃疼得厉害。我现在有这种感觉已经有几天了，好像摆脱不了。,0
我一直胃痛得厉害，还呕吐和便秘。我担心我的健康。,0
我一直感觉很累很虚弱，好像摆脱不了。我也因为呕吐和恶心而失去了食欲。我的胃也疼。,0
我已经呕吐和拉肚子好几天了。我也很难喝下液体。我发烧，头痛，胃疼。我不能做任何身体上的事情，因为我太虚弱了。,0
我肚子疼得厉害。我也一直呕吐不止，感觉很恶心。,0
我感觉很虚弱。我一直有很多胃痛和便秘，我一直在呕吐。因为疼，我什么都吃不下。,0
我拉肚子，肚子疼得厉害。我什么都不想吃，头疼。,0
我发高烧，头疼。我肚子也很疼。因为这个我不能去上班。,0
我已经拉肚子好几天了。它很稀，闻起来很臭。我还头疼得厉害，想吐。,0
我一天有很多次稀便和水样便。我食欲不振，老是生病。我也开始轻微发烧。我的腹部很疼。我不知道这一切背后的原因是什么。,0
我发高烧，尤其是在晚上。真的很糟糕。我还头痛、便秘和腹泻。我什么都不想吃。,0
我的胃一直很痛，我一直感觉很胀，很便秘。我也一直在发烧和发冷。,0
在过去的一周里，我一直在呕吐和腹泻。我也瘦了很多，还发高烧。我头疼，胃疼。,0
我最近感觉很不舒服。我已经失去了食欲，并注意到体重明显下降。我腹痛，尤其是在我的肠胃部位。我担心我的健康。,0
我一直感到很累很虚弱。我没有胃口。我每天晚上都发烧发冷。从昨天开始我也一直在呕吐。,0
我肚子疼得很厉害，还拉肚子。我还发烧头痛。过去的几天真的很不愉快。,0
过去一周我一直头疼。越来越糟了。我也有过腹痛、便秘和腹泻。,0
我最近喝了更多的水，小便也更频繁了。我的嘴和喉咙总是很干。我也比平时更饿。,1
我浑身发抖。我已经失去了味觉和嗅觉，我筋疲力尽了。我偶尔会心悸或心跳加速。,1
疲劳、体重减轻、坐立不安、嗜睡、血糖水平不规则、视力模糊扭曲、肥胖、食欲增加、多尿,1
疲劳、体重减轻、坐立不安、嗜睡、血糖水平不规则、视力模糊和扭曲、肥胖、过度饥饿、食欲增加、多尿,1
疲劳、体重减轻、坐立不安、嗜睡、血糖水平不规则、肥胖、过度饥饿、食欲增加、多尿,1
疲劳、体重减轻、坐立不安、血糖水平不规则、视力模糊和扭曲、肥胖、过度饥饿、食欲增加、多尿,1
我感到虚弱和疲惫。我不能像以前那样品尝或闻东西了。有时候我的心跳很快，或者我觉得我要昏过去了。,1
我有慢性干咳。我有心悸，我的感染似乎没有好转。我也有时好时坏的喉咙痛。,1
疲劳、坐立不安、嗜睡、血糖水平不规则、视力模糊扭曲、肥胖、过度饥饿、食欲增加、多尿,1
疲劳、体重减轻、坐立不安、嗜睡、视力模糊和扭曲、肥胖、过度饥饿、食欲增加、多尿,1
体重减轻、坐立不安、嗜睡、血糖水平不规则、视力模糊和扭曲、肥胖、过度饥饿、食欲增加、多尿,1
疲劳、体重减轻、坐立不安、嗜睡、血糖水平不规则、视力模糊和扭曲、过度饥饿、食欲增加、多尿,1
疲劳、体重减轻、嗜睡、血糖水平不规则、视力模糊和扭曲、肥胖、过度饥饿、食欲增加、多尿,1
我呼吸困难，尤其是在外面的时候。我开始感到热和出汗。我也经常尿路感染和酵母菌感染。,1
我喝了更多的水，上了更频繁的厕所。我的嘴和喉咙总是很干。我最近真的很饿，吃得更多了。,1
我的伤口一直很难愈合。我的手和脚一直感到刺痛和麻木。我也一直感觉很虚弱。,1
我很难集中注意力，我的情绪到处都是。我觉得我在一片迷雾中，很难做简单的任务。,1
我喝了更多的水，上了更频繁的厕所。我的嘴和喉咙总是很干。我最近真的很饿。,1
糖尿病症状取决于你的血糖有多高。有些人，尤其是患有糖尿病前期、妊娠期糖尿病或二型糖尿病的人，可能没有症状。在1型糖尿病中，症状往往出现得很快，而且更严重。糖尿病前期妊娠糖尿病二型糖尿病1型糖尿病1型糖尿病和二型糖尿病的一些症状是：感觉比平时更渴。经常小便。不努力减肥。尿液中存在酮。酮是当没有足够的可用胰岛素时，肌肉和脂肪分解的副产品。感到疲倦和虚弱。感觉烦躁或有其他情绪变化。视力模糊的。有愈合缓慢的疮。受到很多感染，比如牙龈、皮肤和阴道感染。1型糖尿病可以在任何年龄开始。但它通常始于童年或青少年时期。二型糖尿病，更常见的类型，可以在任何年龄发展。二型糖尿病在40岁以上的人群中更常见。但是儿童中的二型糖尿病正在增加。,1
我有皮疹和皮肤过敏，尤其是在我的皮肤褶皱处。我的伤口和瘀伤也不会很快愈合。,1
我喝了更多的水，上了更频繁的厕所。我的嘴和喉咙总是很干。我也比平时更饿。,1
我最近感觉很累，减肥也有困难。我也一直觉得很渴，而且我上厕所的次数比平时多了很多。,1
我最近一直觉得很渴，而且更经常饿。我也一直觉得很累。,1
我最近感到又渴又饿。我有时也会很累。,1
我情绪波动，难以集中注意力。我的头脑有时会感到模糊不清，甚至连常规的家务都很难做。我也很渴，而且经常尿尿。,1
我最近感觉很累。我也一直在减肥，而且总是很渴。,1
我会出疹子和皮肤过敏，尤其是在我皮肤的缝隙里。我的伤口和瘀伤也需要一段时间才能痊愈。,1
我呼吸有问题，尤其是在外面的时候。我突然满脸通红，出汗了。我经常得酵母菌感染和尿路感染。,1
我干咳不退。我还会受到似乎无法治愈的感染，我还会心悸。我的喉咙有时会痛，但会好起来的。,1
我最近感到又渴又饿。我也一直觉得很累。,1
我经常觉得需要小便，并有强烈的冲动。我也感到头晕目眩，失明了。,1
我运动时呼吸困难。我出汗很多，容易发热。我经常感染酵母菌。,1
我最近感到又渴又饿。有时候我也觉得很累。,1
我干咳不退。我也有这个问题，我的感染没有愈合，我有心悸。,1
我的伤口和割伤愈合缓慢。我的手有刺痛感，手脚都麻木了。我也很渴，而且总是很累。,1
我很难集中注意力，我的情绪到处都是。我的头脑有时会感到模糊不清，甚至很难完成简单的任务。,1
我一直看不清事物，而且似乎越来越糟。我也总是很累，筋疲力尽，有时会头晕目眩。,1
我呼吸困难，尤其是锻炼的时候。我经常出汗和脸红，而且我经常受到酵母菌感染。,1
我有一种颤抖和肌肉抽搐的感觉。我的嗅觉或味觉下降了，我感到疲劳。有时我有一种心跳加速或心跳加速的感觉。我也有口渴的感觉，而且尿频。,1
我视力模糊，而且越来越严重。我总是很累，有时还会头晕目眩。,1
我有很多皮疹和皮肤过敏，尤其是在我皮肤的缝隙里。我的皮肤擦伤和割伤也需要很长时间才能痊愈。,1
我一直看不清事物，而且似乎越来越糟。我也总是很累，筋疲力尽，我经常头晕目眩。,1
我一直看不清事物，而且似乎越来越糟。我也真的一直很累，有时候会觉得头晕目眩。,1
我的背部和胸部有皮疹，全身发痒。我的皮肤有时可能会干燥和剥落，这经常在我的身体上留下痕迹。,2
我注意到我的月经周期发生了变化，并出现了意外的阴道分泌物。我时不时会变得易怒，情绪波动很大。,2
皮疹，胃痛，烧灼感排尿，点状排尿,2
瘙痒、皮疹、胃痛、烧灼感、排尿、点状小便,2
瘙痒、皮疹、胃痛、小便点状,2
瘙痒、皮疹、胃痛、烧灼感、排尿,2
瘙痒、皮疹、烧灼感、排尿、点状排尿,2
我脱发了，头发的质地有了明显的变化。我有干燥发痒的头皮屑和增加的头皮屑。我的皮肤也变得很干燥。我想可能是因为我正在服用的药物,2
我体重增加了很多，现在非常肥胖。我有不同的欲望和不同的胃口。我一直在服用一种治疗抑郁症的新药。,2
瘙痒、胃痛、烧灼感、排尿点状,2
我在掉头发，而且越来越少了。我的头皮又干又痒，还有头皮屑。我的皮肤也很干。,2
我一直在经历月经周期的变化和意外的阴道分泌物。我也一直感到焦虑和喜怒无常。,2
我嘴里有金属味，味觉和嗅觉也变了。我有时也会肌肉和关节痛。,2
我发烧了，感觉头昏眼花。我的心怦怦直跳，我的头真的很模糊。我不能正常思考，一切看起来都很模糊。,2
我在掉头发，头发的质地变化很大。我的头皮屑越来越严重，头皮又干又痒。我的皮肤也变得非常干燥。,2
我的胸部和背部有皮疹，而且很痒。我也是干性皮肤，有时会剥落并在身上留下痕迹。,2
我感觉很不舒服。我发烧了，头晕恶心。我的头怦怦直跳，心跳加速。我不能清醒地思考，一切似乎都很模糊。,2
我的背部和胸部有皮疹，皮肤发痒。有时我的皮肤干燥易剥落，经常导致身体色斑。,2
我对性不再感兴趣了，我很难被唤起。我也有脑雾，感觉很迷茫。,2
我一直恶心得厉害，胸口也疼。我真的很紧张，经常发抖。,2
我的思维非常清晰，很难保持专注。我经常忘记事情，并且在记忆事情上有问题。我也很难集中注意力，很难集中注意力。,2
我体重增加了很多，目前相当胖。我有很多倾向和渴望。我一直在服用一种治疗糖尿病的新药。,2
我嘴里有金属味，味觉和嗅觉也不一样了。我也有严重的关节和肌肉疼痛。,2
我一直头痛和偏头痛。我一直难以入睡。我一直肌肉抽搐和颤抖。有时候我会头晕。我想这可能是对我的药物治疗的反应。,2
我的背部和胸部有皮疹，皮肤发痒。有时我的皮肤会剥落，我会有身体上的痕迹。,2
我发烧了，头晕目眩。我的心跳很快，感觉很迷茫。我不能很清楚地思考，一切都感觉模糊不清。,2
我一直情绪波动，我的月经周期也变了。我也有一些意想不到的阴道分泌物。,2
我胸部和背部有皮疹，全身发痒。我有时会有片状皮肤，经常在身上留下痕迹。,2
我有皮疹，有时会剥落我的皮肤。这让我更容易感染。我的手颤抖，有时还会颤抖。,2
我服用这种药物有一段时间了，体重增加了很多。我也一直渴望不同的食物，吃得比以前多。,2
我一直头疼和偏头痛，睡不着。我全身颤抖抽搐。有时我感到头昏眼花。,2
我嘴里有金属味，味觉和嗅觉都变了。我也有关节和肌肉疼痛。,2
我有皮疹，有时会导致皮肤剥落。我更容易因此生病。我的手有时会发抖，我觉得发抖。,2
我一直头疼和偏头痛，睡不着。我浑身发抖。有时我感到头昏眼花。,2
我最近感觉很不舒服。我一直胸痛，觉得很恶心。我也出很多汗。,2
我发烧的时候真的很难受。我感到恶心和头晕，心跳加速。我不能清醒地思考，一切都感觉模糊不清。,2
我一直有偏头痛和头痛，我睡不着。我的肌肉在抽搐和颤抖，我感到头晕。,2
我很难集中注意力和记忆东西。我感觉我有脑雾。,2
我最近一直感到非常头晕和迷失方向，我还注意到我的性欲下降了。我也很难想清楚。,2
我有皮疹，有时会导致皮肤脱皮。因此，我更容易生病。我有时也会发抖，手也会发抖。,2
我的皮肤上有皮疹，会剥落，使我容易感染。我的手指抽搐，有时还会发抖。,2
我一直有偏头痛和头痛。我睡不着。我全身都在颤抖。我有时会头晕。,2
我有很多恶心和胸痛。我的胸部已经疼了一段时间了。我颤抖了很多，我真的很焦虑。,2
我很难集中注意力，头脑也不清晰。我记东西有困难，而且我经常忘记东西。,2
我胸口很疼，胃也很不舒服。我的胸部最近一直很疼，我真的很颤抖和焦虑。,2
我发烧的时候感觉要晕过去了。我头晕目眩，心跳加速。我不能清醒地思考，一切都很模糊。,2
瘙痒、皮疹、结疹、变色斑片,3
我全身都起疹子，真痒。我也有一些坚硬的肿块和一些与我皮肤其他部分颜色不同的斑块。,3
瘙痒、皮疹、结疹,3
瘙痒、皮肤结疹、变色斑片,3
我一直很痒，还伴有皮疹，随着时间的推移，皮疹似乎越来越严重。也有某些皮肤区域的颜色与其他区域不同，我发现了几个类似小结节的肿块。,3
皮疹、结疹、变色斑片,3
我的皮肤上有皮疹，看起来像变色斑块，我也有很多结节性皮疹和非常严重的瘙痒。上周情况变得更糟了。,3
我的皮肤一直很痒，有时会变成皮疹。也有一些奇怪的皮肤斑块，与我的其他部分颜色不同，有时我会出现看起来像结节的小丘疹。,3
我有又痒又红的皮疹。它也很凹凸不平，有一些斑块的颜色与我皮肤的其他部分不同。我也有过一些类似小球的粉刺。,3
我的皮肤上有非常痒的皮疹，还有一些颜色不同的奇怪斑点。我的皮肤上也有一些看起来像小结的肿块。我想可能是真菌感染。,3
我全身都起疹子，又红又痒。我也有一些看起来像粉刺的小肿块和一些奇怪的斑块，它们的颜色与我皮肤的其他部分不同。,3
我全身都起疹子了，真的很痒。我有一些很硬的肿块，还有一些地方比我皮肤的其他部分颜色更深。真的很不愉快。,3
我的皮肤上一直有很多瘙痒和皮疹。也有一些奇怪的皮肤斑块，与我的其他部分颜色不同，有时我会有看起来像结节的小肿块。,3
我有一个皮疹，看起来红色和发炎，变色的皮肤区域与我皮肤的其他部分颜色不同，我的皮肤发痒。,3
我一直很痒，而且还伴有皮疹，随着时间的推移，这种情况似乎会越来越严重。也有一些皮肤斑块与皮肤的其他部分颜色不同，以及一些类似小结节的肿块。,3
我全身都起疹子了，真的很痒。我也有一些肤色不一样的斑点，还有一些肿块和结状的痘痘。,3
瘙痒、皮疹、变色斑片,3
我的皮肤上有皮疹，很痒，颜色与我皮肤的其他部分不同。我的皮肤上也有一些坚硬的粉刺或粉刺。,3
我一直感到皮肤发痒，这经常导致皮疹。我也有一些奇怪的皮肤斑块，它们的颜色与我皮肤的其他部分不同，我经常会有看起来像结节的小肿块。,3
我最近一直觉得很痒，而且我的皮肤上到处都是这些皮疹。还有一些地方比我皮肤的其他部分更黑，我有一些疼痛的肿块。,3
我最近真的很痒，皮肤上到处都是皮疹。也有一些区域看起来与我皮肤的其他部分颜色不同，我有一些有点硬的肿块。我不确定这是什么，但我想检查一下。,3
我最近经常挠自己，皮肤上布满了皮疹。有几个地方，我的皮肤看起来不像平时的颜色，我经历了几个非常痛苦的肿块。,3
我皮肤上有皮疹，很不舒服。还有一些不同颜色的奇怪斑块和一些类似小结的丘疹。,3
我最近很痒，全身都是皮疹。也有一些区域看起来不是我皮肤的正常颜色，我经历了一些坚硬的肿块。,3
我的胳膊和腿上有很多红色的痘痘和发痒的皮肤。我的皮肤上也有一些奇怪的损伤。而且偶尔会有有些不舒服的颠簸。,3
我最近一直很痒，皮肤上布满了皮疹。也有一些地方我的皮肤看起来不像正常的颜色，我有一些疼痛的肿块。,3
我全身都是红斑，而且很痒。有些斑点和我的皮肤颜色不一样。我的皮肤上也有一些肿块或丘疹。,3
我有皮疹，发痒，有时又红又粗糙。我也有看起来像小球的小粉刺和一些与我皮肤其他部分颜色不同的斑点。真的很刺激，很痒。,3
我全身一直很痒，我注意到我的皮肤上有一些红色的鳞状斑块。我也有一些看起来像小结节的肿块。,3
我的皮肤真的很痒，有时还会出疹子。我也有一些奇怪的皮肤区域，它们的颜色与我身体的其他部分不同，有时我会有看起来像结节的小肿块。,3
我的皮肤上有皮疹，很痒，而且随着时间的推移越来越严重。也有一些皮肤斑块的颜色与其他斑块不同，我注意到一些看起来像小节点的肿块。,3
我全身都起疹子了。很痒，而且斑块比我皮肤的其他部分都黑。我也有一些硬块。,3
我皮肤上有皮疹，又痒又不舒服。也有一些奇怪的皮肤斑块是不同的颜色。我的皮肤上也有一些类似小结的粉刺。,3
我的皮肤最近不舒服，真的很痒，还起了疹子。我皮肤的一些斑块与我皮肤的其他部分颜色不同，我的皮肤上有一些以前没有的肿块或肿块。,3
我全身都很痒，我的皮肤也有一些红色的凹凸不平的地方。我也有一些类似小球的粉刺和其他与我皮肤其他部分颜色不同的斑点。,3
我全身都起疹子了。又痒又红。有些斑块的颜色与我皮肤的其他部分不同。我也有一些看起来像小球的痘痘。,3
我全身都起疹子，很痒。它是红色的，凹凸不平的，有一些暗点和一些微小的结节状突起。已经发生好几天了，而且越来越严重。,3
我的皮肤上有这些又红又凹凸不平的斑点，很痒。它们也和我其他皮肤的颜色不同。我有一些肿块，有点像小肿块。,3
我最近真的很痒，皮肤上到处都是皮疹。也有一些地方看起来不像我正常的肤色，我有一些有点硬的肿块。我不确定是什么，但我很担心。,3
我的皮肤上到处都是发痒、皮疹的斑点。它们的颜色也不同于我皮肤的其他部分，我有一些有点硬的肿块。,3
我一直有这些红色的皮疹，不断冒出来，我的皮肤不断发痒。我还注意到我的皮肤上有一些奇怪的颜色不同的斑点，以及一些似乎正在扩大的小结节。,3
我的胳膊和腿上有皮疹，又痒又红。我的皮肤上也有一些奇怪的斑点。有时候颠簸感觉有点硬。,3
我皮肤上有很多痒点。它们有时是红色或凹凸不平的，有时它们与我皮肤的其他部分颜色不同。我也有这些奇怪的肿块，看起来像小球。,3
我的皮肤上有红色凹凸不平的地方，很痒。我也有一些类似小肿块的肿块和一些与我身体其他部位肤色不同的斑点。,3
瘙痒、皮疹、嗜睡、高烧、头痛、食欲不振、轻度发热、淋巴结肿大、不适、全身红斑,4
我胳膊和脖子上有皮疹，痒得要命。我一整天都感觉很不舒服。,4
我全身都是一堆红色的小疙瘩。它们又痒又不舒服。我还发烧头痛。,4
我全身都是红斑。他们发痒，我发烧，头痛，感到筋疲力尽。,4
瘙痒、皮疹、疲劳、嗜睡、高烧、头痛、食欲不振、轻度发热、淋巴结肿大、不适、全身红斑,4
我有皮疹，很痒，晚上很难入睡。我也失去了食欲，感到昏昏欲睡。,4
瘙痒、皮疹、乏力、嗜睡、高烧、头痛、轻度发热、淋巴结肿大、不适、全身红斑,4
我一直觉得全身很痒，而且我有一个又红又刺激的皮疹。,4
瘙痒、皮疹、乏力、嗜睡、高烧、食欲不振、轻度发热、淋巴结肿大、不适、全身红斑,4
瘙痒、皮疹、疲劳、高烧、头痛、食欲不振、轻度发热、淋巴结肿大、不适、全身红斑,4
瘙痒、皮疹、疲劳、嗜睡、头痛、食欲不振、轻度发热、淋巴结肿大、不适、全身红斑,4
我一直感到全身发痒，而且我有红肿的皮疹。,4
我没胃口，想吐。我也很累。我皮肤上有皮疹，这真的让我很担心。,4
我发烧，头痛，吃不下东西。我想吐。我胳膊上也有一些红斑。,4
我有皮疹，有小肿块，又痒又痛。我也发烧了，感觉很累。,4
我一直感觉很不舒服，全身都起疹子了。我担心会是什么。,4
瘙痒、乏力、嗜睡、高烧、头痛、食欲不振、轻度发热、淋巴结肿大、不适、全身红斑,4
皮疹、乏力、嗜睡、高烧、头痛、食欲不振、轻度发热、淋巴结肿大、不适、全身红斑,4
我发烧，头痛，而且一直很累。我什么都不想吃。,4
我已经发烧几天了，开始让我担心了。我也头疼，感觉虚弱无精打采。,4
瘙痒、皮疹、疲劳、嗜睡、高烧、头痛、食欲不振、淋巴结肿大、不适、全身红斑,4
我的皮肤上有皮疹，又红又痒又痛。它传遍了我的全身。,4
我真的很累很虚弱。我几乎睁不开眼睛。我发烧了，不想吃东西。我想我已经没胃口了。,4
我的胳膊和脖子上有皮疹，抓的时候会痒。我也发烧了。我不知道是什么引起的。痒真的困扰着我。,4
我皮肤上有皮疹，发痒，还发烧了。我不知道是什么引起的。,4
瘙痒、皮疹、疲劳、嗜睡、高烧、头痛、食欲不振、轻度发热、不适、全身红斑,4
我一直感到很累很虚弱。我早上几乎不能起床，白天也很难保持清醒。,4
我全身都起疹子了。真的很痒，我觉得真的很不舒服。,4
我全身都是小红点。我很担心他们。我也很累，每天晚上都有轻微的发烧。,4
我手臂和脸上的小淋巴结开始肿胀。因为持续的瘙痒和疼痛，我一整天都很痛苦。,4
我的淋巴结很疼。我全身都是皮疹，因此我晚上睡不着觉。,4
我全身都是又红又痒的肿块。它们对我的胳膊和腿特别不好。我还头疼发烧。我什么都不想吃，已经没胃口了。,4
我胳膊和腿上有红斑，真的很痒。我晚上因为痒睡不着。我还头疼发烧。,4
我感觉很不舒服。我没胃口，想吐。我还注意到我的皮肤上有一些红斑。我担心我的健康。,4
我全身都是红斑。他们发痒，并开始肿胀。我认为它们正在蔓延。,4
我最近感觉很不舒服。我一直很恶心，我感到很不安。我还注意到我的胳膊和腿上有些皮疹。我已经没有胃口了，每天都感到筋疲力尽。,4
我全身都起疹子了。又红又痒。我也一直感到疼痛和疲劳。,4
我最近感觉很不舒服。我发烧了，全身都是发痒的红斑。我不确定我怎么了，但我很担心。,4
我发烧，头痛，淋巴结肿大。我感到虚弱和疲劳。因为发烧，我很难集中注意力。,4
我发烧，头痛，全身都是红斑。斑点又痒又肿。,4
我全身有很多红色的小肿块。它们又痒又不舒服。我担心他们会是什么。,4
我的皮肤上有皮疹，引起了很大的不适。它又红又发炎，而且扩散到我全身。皮疹还伴有强烈的瘙痒，尤其是在我的胳膊和腿上。,4
我全身都起疹子，又痒又痛。我也发烧了，感觉很累。,4
我发烧了，全身都是红斑。我感觉真的很累，什么都不想吃。我很担心自己出了什么问题。,4
我全身都起疹子了，我觉得很痒。我也感觉很累，没有胃口。,4
我最近感觉很不舒服。我发烧，淋巴结肿大，还头疼。我不想吃任何东西，我真的很虚弱，很累。我很难专注于我的日常生活。,4
我觉得真的不舒服。我没有精力，也没胃口了。我的皮肤上也有小红点。,4
我的脸上和脖子上有很多小红斑。它们很痒，让我一天都很不舒服。,4
我的皮肤上有很多红斑，而且扩散得很快。我每天晚上也有轻微的发烧和头痛。,4
我皮肤上有皮疹，扩散很快。它很痒，我晚上几乎睡不着。,4
我全身都是红肿的皮疹。又痒又不舒服。我也发烧了。,4
关节痛，颈痛，膝痛，髋关节痛，关节肿胀，行走疼痛,5
关节痛，颈痛，膝痛，髋关节痛，关节肿胀,5
颈痛，膝痛，髋关节痛，关节肿胀，行走疼痛,5
关节疼痛，颈痛，髋关节疼痛，关节肿胀，行走疼痛,5
关节痛，颈痛，膝痛，髋关节痛，行走痛,5
关节疼痛，颈痛，膝痛，关节肿胀，行走疼痛,5
关节疼痛，膝关节疼痛，髋关节疼痛，关节肿胀，行走疼痛,5
皮疹、寒战、关节痛、呕吐、高烧、头痛、恶心、食欲不振、眼后疼痛、背痛、不适、肌肉疼痛、全身红斑,6
我一直感觉很累很虚弱，而且我似乎睡眠不足。我脖子上也有皮疹，痒得很厉害。,6
皮疹、寒战、关节痛、呕吐、疲劳、高烧、头痛、恶心、食欲不振、眼后疼痛、背痛、不适、肌肉疼痛、全身红斑,6
我全身出现皮疹，发痒，而且我没有食欲。我一整天都觉得很累，感觉身体好像有问题。,6
皮疹、寒战、呕吐、疲劳、高烧、头痛、恶心、食欲不振、眼后疼痛、背痛、不适、肌肉疼痛、全身红斑,6
皮疹、寒战、关节痛、呕吐、疲劳、高烧、头痛、恶心、食欲不振、眼后疼痛、背痛、不适、肌肉疼痛,6
我一直觉得胃不舒服，一直在呕吐。我的头很疼，胳膊上有一些红斑。,6
皮疹、寒战、关节痛、呕吐、疲劳、头痛、恶心、食欲不振、眼后疼痛、背痛、不适、肌肉疼痛、全身红斑,6
我一直在发抖，发抖，我觉得冷。我的发烧真的很高。我胳膊上有皮疹，脖子上有红斑。,6
我发烧发冷，全身疼痛。我也食欲不振，背部和颈部有些红斑。,6
在过去的几天里，我一直感到严重的关节痛和头痛。我也有轻微的发烧和发冷。,6
寒战、关节痛、呕吐、疲劳、高烧、头痛、恶心、食欲不振、眼后疼痛、背痛、不适、肌肉疼痛、全身红斑,6
皮疹、寒战、关节痛、呕吐、疲劳、高烧、头痛、恶心、食欲不振、眼后痛、背痛、肌肉痛、全身红斑,6
皮疹、寒战、关节痛、呕吐、疲劳、高烧、头痛、恶心、食欲不振、眼后疼痛、背痛、不适、全身红斑,6
